AquaBounty Technologies, Inc. - Common Stock,PlanetEcosystems
Aqua Metals, Inc. - Common Stock,PlaceILive.com
Algonquin Power & Utilities Corp. Common Shares,OpportunitySpace,
Algonquin Power & Utilities Corp. 6.875% Fixed-to-Floating Rate Subordinated Notes Series 2018-A due October 17, 2078,PricewaterhouseCoopers
Algonquin Power & Utilities Corp. 6.20% Fixed-to-Floating Subordinated Notes Series 2019-A due July 1, 2079,NonprofitMetrics
Aquestive Therapeutics, Inc. - Common Stock,FindTheBest.com
Evoqua Water Technologies Corp. Common Stock,PricewaterhouseCoopers
Antero Resources Corporation Common Stock,Relationship
American Renal Associates Holdings, Inc Common Stock,PricewaterhouseCoopers
Aravive, Inc. - Common Stock,PlaceILive.com
Accuray Incorporated - Common Stock,PlanetEcosystems
ARC Document Solutions, Inc. Common Stock,Relationship
ArcBest Corporation - Common Stock,Retroficiency
Ares Capital Corporation - Closed End Fund,Relationship
Arco Platform Limited - Class A Common Shares,PricewaterhouseCoopers
Arch Coal, Inc. Class A Common Stock,CliniCast
Arrow Reserve Capital Management ETF,Revaluate
Arcos Dorados Holdings Inc. Class A Shares,CoolClimate
Arcturus Therapeutics Holdings Inc. - Common Stock,ClearHealthCosts
Ardagh Group S.A. Common Shares,PricewaterhouseCoopers
Ares Dynamic Credit Allocation Fund, Inc. Common Shares,PricewaterhouseCoopers
Aridis Pharmaceuticals Inc. - Common Stock,PlaceILive.com
Ardelyx, Inc. - Common Stock,Relationship
Alexandria Real Estate Equities, Inc. Common Stock,ClearHealthCosts
American Resources Corporation - Class A Common Stock,PricewaterhouseCoopers
Ares Management Corporation Class A Common Stock,PlanetEcosystems
Argo Group International Holdings, Ltd. 6.5% Senior Notes Due 2042,PricewaterhouseCoopers
Argo Group International Holdings, Ltd.,Relationship
Global X MSCI Argentina ETF,PublicEngines
argenx SE - American Depositary Shares,PlanetEcosystems
Apollo Commercial Real Estate Finance, Inc,Compliance
ARK Fintech Innovation ETF,LegiNation,
ARK Genomic Revolution ETF,Revelstone
ARK Innovation ETF,Inovalon
ARK Autonomous Technology & Robotics ETF,PricewaterhouseCoopers
Ark Restaurants Corp. - Common Stock,realtor.com
ARK Next Generation Internet ETF,NonprofitMetrics
American Realty Investors, Inc. Common Stock,PricewaterhouseCoopers
Arlo Technologies, Inc. Common Stock,FindTheBest.com
Alliance Resource Partners, L.P. - Common Units Representing Limited Partnership Interests,PricewaterhouseCoopers
Aramark Common Stock,DataMarket
Armata Pharmaceuticals, Inc. Common Stock,PlaceILive.com
Exchange Listed Funds Trust Armor US Equity Index ETF,PlanetEcosystems
Arena Pharmaceuticals, Inc. - Common Stock,PlaceILive.com
Arconic Corporation Common Stock ,OpportunitySpace,
Archrock, Inc. Common Stock,MuckRock.com
Arrow Financial Corporation - Common Stock,CrowdANALYTIX
Aerpio Pharmaceuticals, Inc. - Common Stock,PlaceILive.com
Arcutis Biotherapeutics, Inc. - Common stock,FindTheBest.com
ARMOUR Residential REIT, Inc.,Marinexplore,
Artelo Biosciences, Inc. - Common Stock,LoseIt.com
Artesian Resources Corporation - Class A Non-Voting Common Stock,ClearHealthCosts
Art's-Way Manufacturing Co., Inc. - Common Stock,MuckRock.com
Arvinas, Inc. - Common Stock,InfoCommerce
Arrow Electronics, Inc. Common Stock,Retroficiency
Arrowhead Pharmaceuticals, Inc. - Common Stock,PlaceILive.com
ARYA Sciences Acquisition Corp. - Class A Ordinary Shares,PricewaterhouseCoopers
ARYA Sciences Acquisition Corp. - Unit,SimpleTuition
