Company Name, Number of H1B in 2020, Median Salary Overall, Post, Median salary for post, Number of h1bs filed for that post  
Adobe, 113 Records from 2020, Median Salary $123718, SOFTWARE QUALITY ENGINEER SR. SOFTWARE QUALITY ENGINEER, $92,560, 1
Delta Air Lines, 27 Records from 2020, Median Salary $100000, SOFTWARE DEVELOPER, $90,000, 15
Delta Air Lines, 27 Records from 2020, Median Salary $100000, SOFTWARE DEVELOPER, APPLICATIONS, $139,120, 7
Delta Air Lines, 27 Records from 2020, Median Salary $100000, SOFTWARE DEVELOPERS, APPLICATIONS, $136,000, 1
Delta Air Lines, 27 Records from 2020, Median Salary $100000, SOFTWARE ENGINEER SENIOR, $121,077, 1
Delta Air Lines, 27 Records from 2020, Median Salary $100000, SOFTWARE ENGINEER: MACHINE LEARNING, $108,000, 1
Delta Air Lines, 27 Records from 2020, Median Salary $100000, SOFTWARE TEST ENGINEER, $101,379, 1
Delta Air Lines, 27 Records from 2020, Median Salary $100000, SOFTWARE DEVELOPER - SAP, $90,500, 1
VMware, 4 Records from 2020, Median Salary $135540, SOFTWARE QUALITY ENGINEER, $146,200, 1
VMware, 4 Records from 2020, Median Salary $135540, SOFTWARE ENGINEER, $136,080, 1
VMware, 4 Records from 2020, Median Salary $135540, SOFTWARE ENGINEER â SDDC MANAGEMENT INFRASTRUCTURE, $135,000, 1
VMware, 4 Records from 2020, Median Salary $135540, SOFTWARE ENGINEER - TALENT SYSTEMS, $101,000, 1
McDonald's, 1 Records from 2020, Median Salary $170000, SOFTWARE ASSURANCE ENGINEER, $170,000, 1
Eli Lilly, 30 Records from 2020, Median Salary $92653.5, SOFTWARE DEVELOPER, $88,000, 14
Eli Lilly, 30 Records from 2020, Median Salary $92653.5, SOFTWARE ENGINEER, $94,307, 8
Eli Lilly, 30 Records from 2020, Median Salary $92653.5, SOFTWARE DEVELOPMENT ENGINEER, $103,509, 3
Eli Lilly, 30 Records from 2020, Median Salary $92653.5, SOFTWARE DEVELOPER II, $96,595, 2
Eli Lilly, 30 Records from 2020, Median Salary $92653.5, SOFTWARE ENGINEER - MEMBER OF TECHNICAL STAFF, $110,000, 1
Eli Lilly, 30 Records from 2020, Median Salary $92653.5, SOFTWARE DEVELOPER IN TEST, $102,003, 1
Eli Lilly, 30 Records from 2020, Median Salary $92653.5, SOFTWARE TEST ENGINEER, $81,000, 1
